"column_name","question_short_en","category_short_en","display_en","question_en","responses_en","responses_en_rec"
"IMD5006_2","Electoral turnout - turnout as a percentage of the voting age population (vap)","Macro Data","Macro Data: ELECTORAL TURNOUT - TURNOUT AS A PERCENTAGE OF THE VOTING AGE POPULATION (VAP) (IMD5006_2)","Official voter turnout - Percentage of Voting Age Population (VAP).","(0 to 100). PERCENT OF VOTING AGE POPULATION (VAP) WHO VOTED","(0 to 100). Percent of voting age population (vap) Who voted"
"IMD5007","Compulsory voting","Macro Data","Macro Data: COMPULSORY VOTING (IMD5007)","Is voting compulsory?","(1) YES; STRICTLY ENFORCED SANCTIONS (2) YES; WEAKLY ENFORCED SANCTIONS (3) YES; WITHOUT SANCTION FOR VIOLATION (5) NO","(1) Yes; strictly enforced sanctions (2) Yes; weakly enforced sanctions (3) Yes; without sanction for violation (5) No"
"IMD5013","Electoral formula in all segments: lower house","Macro Data","Macro Data: ELECTORAL FORMULA IN ALL SEGMENTS: LOWER HOUSE (IMD5013)","Whether the country uses a majoritarian formula, a proportional formula, or a mixed formula in all of its electoral segments/tiers.","(1) MAJORITARIAN (2) PROPORTIONAL (3) MIXED","(1) Majoritarian (2) Proportional (3) Mixed"
"IMD5014","Electoral formula: presidential election","Macro Data","Macro Data: ELECTORAL FORMULA: PRESIDENTIAL ELECTION (IMD5014)","The electoral formula used to elect the President that is elected by popular vote.","(1) PLURALITY (2) ABSOLUTE MAJORITY RULE (3) QUALIFIED MAJORITY RULE (4) ELECTORAL COLLEGE (5) ALTERNATIVE VOTE","(1) Plurality (2) Absolute majority rule (3) Qualified majority rule (4) Electoral college (5) Alternative vote"
"IMD5032_4","Post-election protest","Macro Data","Macro Data: POST-ELECTION PROTEST (IMD5032_4)","To what extent was there protest following the election?","(1) NO PROTEST AT ALL (2) SPORADIC PROTEST (3) SIGNIFICANT PROTEST","(1) No protest at all (2) Sporadic protest (3) Significant protest"
"IMD5033","Fairness of the election","Macro Data","Macro Data: FAIRNESS OF THE ELECTION (IMD5033)","How impartial was the body that administered the election law?","(1) VERY IMPARTIAL (2) MOSTLY IMPARTIAL (3) NOT VERY IMPARTIAL (4) NOT IMPARTIAL AT ALL","(1) Very impartial (2) Mostly impartial (3) Not very impartial (4) Not impartial at all"
"IMD5034_2","Election irregularities reported","Macro Data","Macro Data: ELECTION IRREGULARITIES REPORTED (IMD5034_2)","Were there irregularities reported by international election observers?","(0) NO (1) YES","(0) No (1) Yes"
"IMD5035","Number of parties participating in election","Macro Data","Macro Data: NUMBER OF PARTIES PARTICIPATING IN ELECTION (IMD5035)","How many political parties received votes in the election?","(1 to 900). NUMBER OF PARTIES","(1 to 900). Number of parties"
"IMD5036_3","Did any electoral alliance form?","Macro Data","Macro Data: DID ANY ELECTORAL ALLIANCE FORM? (IMD5036_3)","(If yes to IMD5036_1 or IMD5036_2) Did any electoral alliances form?","(0) NO (1) YES","(0) No (1) Yes"
"IMD5045_1","Average district magnitude - lowest segment (tier) - lower house","Macro Data","Macro Data: AVERAGE DISTRICT MAGNITUDE - LOWEST SEGMENT (TIER) - LOWER HOUSE (IMD5045_1)","Average district magnitude in the first or lowest electoral segment (tier).","(1 to 900). NUMBER OF SEATS ELECTED PER DISTRICT","(1 to 900). Number of seats elected per district"
"IMD5048","Regime: type of executive","Macro Data","Macro Data: REGIME: TYPE OF EXECUTIVE (IMD5048)","Classification of political regimes. ","(1) PARLIAMENTARY REGIME (2) MIXED REGIME (3) PRESIDENTIAL REGIME","(1) Parliamentary regime (2) Mixed regime (3) Presidential regime"
"IMD5049","Age of current regime","Macro Data","Macro Data: AGE OF CURRENT REGIME (IMD5049)","The number of years since the most recent regime change.","(0 to 500). AGE OF THE REGIME (YEARS)","(0 to 500). Age of the regime (years)"
"IMD5050_1","Freedom house rating - time t","Macro Data","Macro Data: FREEDOM HOUSE RATING - TIME T (IMD5050_1)","Freedom House's rating at three time periods (average of the ""Political Rights"" and ""Civil Liberties"" scores).","(1 to 7). FREEDOM HOUSE RATING SCORE","(1 to 7). Freedom house rating score"
"IMD5051_1","Democracy-autocracy - polity iv rating - time t","Macro Data","Macro Data: DEMOCRACY-AUTOCRACY - POLITY IV RATING - TIME T (IMD5051_1)","The POLITY IV ratings of institutionalized democracy versus autocracy in a country at three time periods.","(-10) AUTOCRATIC (10) DEMOCRATIC","(-10) Autocratic (10) Democratic"
"IMD5052_2","Gdp growth annual % (world bank) - time t-1 year","Macro Data","Macro Data: GDP GROWTH ANNUAL % (WORLD BANK) - TIME T-1 YEAR (IMD5052_2)","World Bank estimate of the annual GDP growth at three time periods.","(-20 to +25). PERCENT ANNUAL GROWTH","(-20 to +25). Percent annual growth"
"IMD5053_1","Gdp per capita, ppp (world bank) - time t","Macro Data","Macro Data: GDP PER CAPITA, PPP (WORLD BANK) - TIME T (IMD5053_1)","World Bank estimate of the GDP per capita at three time periods.","(0 to 899,999). GDP PER CAPITA","(0 to 899,999). Gdp per capita"
"IMD5054_2","Unemployment, total (world bank) - time t-1 year","Macro Data","Macro Data: UNEMPLOYMENT, TOTAL (WORLD BANK) - TIME T-1 YEAR (IMD5054_2)","World Bank estimates of the unemployment rate (% of total labor force) at three time periods.","(0 to 100). UNEMPLOYMENT RATE (% OF TOTAL LABOR FORCE)","(0 to 100). Unemployment rate (% of total labor force)"
"IMD5055_1","Human development index (unpd) - time t","Macro Data","Macro Data: HUMAN DEVELOPMENT INDEX (UNPD)  - TIME T (IMD5055_1)","UNDP Human Development Index (HDI) at three time periods.","(0 to 1). HUMAN DEVELOPMENT INDEX","(0 to 1). Human development index"
"IMD5056_2","Inflation, gdp deflator (annual %) (world bank) - time t-1 year","Macro Data","Macro Data: INFLATION, GDP DEFLATOR (ANNUAL %) (WORLD BANK) - TIME T-1 YEAR (IMD5056_2)","World Bank estimate of Inflation at three time periods.","(-100 to 10000). INFLATION (ANNUAL %)","(-100 to 10000). Inflation (annual %)"
"IMD5057_1","Population, total (world bank) - time t","Macro Data","Macro Data: POPULATION, TOTAL (WORLD BANK) - TIME T (IMD5057_1)","World Bank estimates of the total population size, at three time periods.","(1000 to 9,999,999,999). POPULATION SIZE","(1000 to 9,999,999,999). Population size"
"IMD5058_1","Effective number of electoral parties","Macro Data","Macro Data: EFFECTIVE NUMBER OF ELECTORAL PARTIES (IMD5058_1)","Effective Number of Electoral Parties (ENEP).","(0 to 1500). EFFECTIVE NUMBER OF ELECTORAL PARTIES","(0 to 1500). Effective number of electoral parties"
