column_name,question_en,responses_en
IMD3001_TS,,(0) 0. RESPONDENT ABSTAINED IN BOTH ELECTIONS (1) 1. RESPONDENT ABSTAINED IN CURRENT ELECTION BUT VOTED IN PREVIOUS ELECTION (2) 2. RESPONDENT VOTED IN CURRENT ELECTION BUT ABSTAINED IN PREVIOUS ELECTION (3) 3. RESPONDENT VOTED IN BOTH CURRENT AND PREVIOUS ELECTION (5) 5. RESPONDENT ABSTAINED IN CURRENT ELECTION BUT INELIGIBLE TO VOTE IN PREVIOUS ELECTION (6) 6. RESPONDENT VOTED IN CURRENT ELECTION BUT INELIGIBLE TO VOTE IN PREVIOUS ELECTION 
IMD3002_OUTGOV,,(0) 0. DID NOT VOTE FOR THE OUTGOING GOVERNMENT (INCUMBENT) (1) 1. VOTED FOR THE OUTGOING GOVERNMENT (INCUMBENT)
IMD3002_VS_1,,(0) 0. DID NOT SWITCH (VOTED FOR SAME PARTY/COALITION IN CURRENT & PREVIOUS ELECTION) (1) 1. SWITCHER (CHANGED VOTE IN CURRENT ELECTION FROM PREVIOUS ELECTION) 
IMD3002_LR_CSES,,(1) 1. VOTED FOR LEFTIST PARTY/CANDIDATE (2) 2. VOTED FOR CENTER PARTY/CANDIDATE (3) 3. VOTED FOR RIGHTIST PARTY/CANDIDATE 
IMD3005_1,,(0) 0. NO (1) 1. YES   
IMD3006,,(0) 0. LEFT (10) 10. RIGHT
IMD3010,,(1) 1. VERY SATISFIED (2) 2. FAIRLY SATISFIED (4) 4. NOT VERY SATISFIED (5) 5. NOT AT ALL SATISFIED (6) 6. NEITHER SATISFIED NOR DISSATISFIED   
IMD3011,,(1) 1. IT DOESN'T MAKE ANY DIFFERENCE WHO IS IN POWER (5) 5. IT MAKES A BIG DIFFERENCE WHO IS IN POWER   
IMD3012,,(1) 1. WHO PEOPLE VOTE FOR WON'T MAKE ANY DIFFERENCE (5) 5. WHO PEOPLE VOTE FOR CAN MAKE A BIG DIFFERENCE   
IMD3013_1,,(1) 1. GOTTEN BETTER (3) 3. STAYED THE SAME (5) 5. GOTTEN WORSE   
IMD3013_2,,(1) 1. MUCH BETTER (2) 2. SOMEWHAT BETTER   
IMD3013_3,,(4) 4. SOMEWHAT WORSE (5) 5. MUCH WORSE   
IMD3014,,(1) 1. VERY GOOD JOB (2) 2. GOOD JOB (3) 3. BAD JOB (4) 4. VERY BAD JOB (6) 6. [SEE ELECTION STUDY NOTES]   
IMD5006_1,,0 to 100. PERCENT OF REGISTERED VOTERS (ER) WHO VOTED 
IMD5006_2,,0 to 100. PERCENT OF VOTING AGE POPULATION (VAP) WHO VOTED
IMD5007,,(1) 1. YES; STRICTLY ENFORCED SANCTIONS (2) 2. YES; WEAKLY ENFORCED SANCTIONS (3) 3. YES; WITHOUT SANCTION FOR VIOLATION (5) 5. NO
IMD5013,,(1) 1. MAJORITARIAN (2) 2. PROPORTIONAL (3) 3. MIXED 
IMD5014,,(1) 1. PLURALITY (2) 2. ABSOLUTE MAJORITY RULE (3) 3. QUALIFIED MAJORITY RULE (4) 4. ELECTORAL COLLEGE (5) 5. ALTERNATIVE VOTE (7) 7. NOT APPLICABLE 
IMD5032_4,,(1) 1. NO PROTEST AT ALL (2) 2. SPORADIC PROTEST (3) 3. SIGNIFICANT PROTEST 
IMD5033,,(1) 1. VERY IMPARTIAL (2) 2. MOSTLY IMPARTIAL (3) 3. NOT VERY IMPARTIAL (4) 4. NOT IMPARTIAL AT ALL 
IMD5034_2,,(0) 0. NO (1) 1. YES (6) 6. NO INTERNATIONAL ELECTION OBSERVERS 
IMD5035,,1 to 900. NUMBER OF PARTIES
IMD5036_3,,(0) 0. NO (1) 1. YES (7) 7. NOT APPLICABLE [NO ALLIANCES PERMITTED] 
IMD5045_1,,1 to 900. NUMBER OF SEATS ELECTED PER DISTRICT
IMD5048,,(1) 1. PARLIAMENTARY REGIME (2) 2. MIXED REGIME (3) 3. PRESIDENTIAL REGIME 
IMD5049,,0 to 500.  AGE OF THE REGIME (YEARS)
IMD5050_1,,1 to 7. FREEDOM HOUSE RATING SCORE
IMD5051_1,,(-10) -10. AUTOCRATIC (10) 10. DEMOCRATIC
IMD5052_2,,`-20 to +25. PERCENT ANNUAL GROWTH
IMD5053_1,,"0 to 899,999. GDP PER CAPITA"
IMD5054_2,,0 to 100. UNEMPLOYMENT RATE (% OF TOTAL LABOR FORCE)
IMD5055_1,,0 to 1.    HUMAN DEVELOPMENT INDEX
IMD5056_2,,`-100 to 10000. INFLATION (ANNUAL %)
IMD5057_1,,"1000 to 9,999,999,999. POPULATION SIZE"
IMD5058_1,,0 to 150. EFFECTIVE NUMBER OF ELECTORAL PARTIES
